,Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
46,Cyprus,6476.83,5840.53,5069.79,5986.41,7296.9,6010.81,7156.87,6539.67,3462.27,2476.3500000000004,2023.44,2356.42,2121.14,1592.87,1434.59,1356.32,1722.04,1069.77,955.51,1457.22,1264.96,3213.5499999999997,3259.1400000000003,2486.2,2407.42,3103.5699999999997,2914.4600000000005,3407.76,3630.75,3711.04,3577.1000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Czechia,0.0,0.0,0.0,10411.3,10592.45,11079.6,10653.3,11945.09,12644.09,12280.060000000001,13092.6,13372.4,14256.210000000001,13211.34,15083.189999999999,15316.45,16113.09,17651.97,10880.0,9519.8,9914.8,10612.12,10690.8,10293.960000000001,9366.779999999999,8945.74,8866.0,8866.0,8184.0,7816.4,7030.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Czechoslovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Côte d'Ivoire,32.0,32.0,32.0,48.0,429.0,402.0,279.0,186.04,186.09,186.13,186.19,186.23,186.28,186.32,186.36,186.4,186.45000000000002,186.5,186.54999999999998,186.59,186.64,186.68,186.72,186.77,186.82,186.86,186.91,44.21,58.67,184.52,177.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Democratic People's Republic of Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139934.44,168598.77,195347.09,233221.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Democratic Republic of the Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Denmark,11300.0,9256.0,9132.0,8206.0,7844.0,14795.0,7344.0,7358.0,7246.0,5734.0,9249.0,9581.0,5736.0,5908.0,5798.0,6492.0,6424.0,6672.0,8290.0,5672.0,7788.0,8498.96,11432.0,8236.0,3559.78,5187.56,5117.92,5406.0,5294.0,5328.0,6342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Dominican Republic,9942.0,9942.0,9942.0,9942.0,14821.0,10219.0,10413.0,11423.0,12977.0,10802.0,14874.0,21392.0,8036.13,2552.72,10763.04,10118.42,11903.77,16341.78,15854.660000000002,17286.71,18487.52,12768.45,12903.66,13038.869999999999,13174.07,10056.86,11748.9,13630.9,14138.9,14138.9,14138.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
