Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F
146,'498,Republic of Moldova,1315,Insecticides – Other,5157,Agricultural Use,tonnes,,,,,93,A,27,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1316,Mineral Oils,5157,Agricultural Use,tonnes,,,,,67,A,51,A,43.71,I,36.43,I,29.14,I,21.86,I,14.57,I,7.29,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I
146,'498,Republic of Moldova,1320,Herbicides,5157,Agricultural Use,tonnes,,,,,1238,A,1178,A,1028.91,I,879.83,I,730.74,I,581.66,I,432.57,I,283.49,I,134.4,A,171,A,224,A,451.1,A,540.17,A,509.12,A,657,A,951.4,A,928.64,A,858.58,A,994.76,A,1090.73,A,1076.46,A,984.89,A,1012,A,1003,A,1021,E,1384.9,A,1389.15,I,1393.4,A,1328.3,A
146,'498,Republic of Moldova,1321,Herbicides – Phenoxy hormone products,5157,Agricultural Use,tonnes,,,,,255,A,197,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1322,Herbicides – Triazines,5157,Agricultural Use,tonnes,,,,,37,A,19,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1323,Herbicides – Amides,5157,Agricultural Use,tonnes,,,,,244,A,292,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1324,Herbicides – Carbamates,5157,Agricultural Use,tonnes,,,,,18,A,11,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1325,Herbicides – Dinitroanilines,5157,Agricultural Use,tonnes,,,,,239,A,216,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1326,Herbicides – Urea derivates,5157,Agricultural Use,tonnes,,,,,9,A,6,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1327,Herbicides – Other,5157,Agricultural Use,tonnes,,,,,436,A,437,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1331,Fungicides and Bactericides,5157,Agricultural Use,tonnes,,,,,594,A,697,A,933.37,I,1169.74,I,1406.11,I,1642.49,I,1878.86,I,2115.23,I,2351.6,A,2343,A,2001.3,A,1883.6,A,1977.01,A,1559.11,A,1488,A,1201.9,A,1563.76,A,1111.12,A,1162.04,A,1058.47,A,888.56,A,1079.32,A,1067,A,1396,A,1388,E,1110,A,1301.4,A,1349.2,A,1450,A
146,'498,Republic of Moldova,1333,Fung & Bact – Dithiocarbamates,5157,Agricultural Use,tonnes,,,,,210,A,114,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1334,Fung & Bact – Benzimidazoles,5157,Agricultural Use,tonnes,,,,,25,A,15,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1335,"Fung & Bact – Triazoles, diazoles",5157,Agricultural Use,tonnes,,,,,64,A,88,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1336,"Fung & Bact – Diazines, morpholines",5157,Agricultural Use,tonnes,,,,,12,A,14,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1337,Fung & Bact – Other,5157,Agricultural Use,tonnes,,,,,283,A,466,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,'498,Republic of Moldova,1352,Fungicides – Seed treatments,5157,Agricultural Use,tonnes,,,,,0,I,0,I,19.32,I,38.65,I,57.97,I,77.3,I,96.62,I,115.95,I,135.27,A,137.73,A,142.04,A,125.3,A,125.3,A,104.67,A,94,A,97.47,A,74.6,A,65.41,A,67.95,A,72.97,A,81.82,A,67.27,A,0,I,0,I,0,I,0,I,0,I,0,I,0,I
146,'498,Republic of Moldova,1341,Plant Growth Regulators,5157,Agricultural Use,tonnes,,,,,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,0,I,16,A,8.6,A,16,E,15,E,31,E,20,E,0,I
146,'498,Republic of Moldova,1345,Rodenticides,5157,Agricultural Use,tonnes,,,,,4,A,4,A,3.43,I,2.86,I,2.29,I,1.71,I,1.14,I,0.57,I,0,I,0,I,0,I,0.03,A,0.01,A,0.7,A,0.37,A,0.06,A,0.05,A,0.98,A,0.1,A,0.92,A,0.83,A,1.15,A,2.4,A,1.4,A,1,E,2,E,1,E,7,E,0,I
146,'498,Republic of Moldova,1347,Rodenticides – Other,5157,Agricultural Use,tonnes,,,,,4,A,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
